,SEQ,PERIOD,AUC,ACC,PRECISION_0,PRECISION_1,zeros,ones,ratio
156,40,1,0.48788011695906425,0.48921832884097033,0.44846796657381616,0.5274151436031331,359,383,0.9373368146214099
157,40,2,0.4988607063620556,0.5215633423180593,0.4109090909090909,0.5867237687366167,275,467,0.588865096359743
158,40,3,0.4980830551074764,0.5417789757412399,0.4074074074074074,0.5877034358047016,189,553,0.34177215189873417
159,40,4,0.4974681141815973,0.5479082321187584,0.3945945945945946,0.5989208633093526,185,556,0.3327338129496403
160,41,1,0.4990862573099415,0.5040431266846361,0.45987654320987653,0.5382775119617225,324,418,0.7751196172248804
161,41,2,0.4936739221682557,0.522911051212938,0.4032258064516129,0.582995951417004,248,494,0.5020242914979757
162,41,3,0.49696570912919236,0.5425101214574899,0.40555555555555556,0.5864527629233511,180,561,0.32085561497326204
163,41,4,0.4957561494078348,0.5506072874493927,0.3905325443786982,0.5979020979020979,169,572,0.29545454545454547
164,42,1,0.4840423976608187,0.49056603773584906,0.44193548387096776,0.5254629629629629,310,432,0.7175925925925926
165,42,2,0.49418526031102095,0.5290148448043185,0.40358744394618834,0.583011583011583,223,518,0.4305019305019305
166,42,3,0.5013836667167996,0.5506072874493927,0.4146341463414634,0.5892547660311959,164,577,0.28422876949740034
167,42,4,0.492950956574552,0.5465587044534413,0.3850574712643678,0.5961199294532628,174,567,0.30687830687830686
168,43,1,0.48600668337510444,0.4939271255060729,0.4440677966101695,0.5269058295964125,295,446,0.6614349775784754
169,43,2,0.49007212080234397,0.5236167341430499,0.39737991266375544,0.580078125,229,512,0.447265625
170,43,3,0.4961347571063318,0.5479082321187584,0.4025974025974026,0.58603066439523,154,587,0.262350936967632
171,43,4,0.49574855754631036,0.5519568151147098,0.3902439024390244,0.5979202772963604,164,577,0.28422876949740034
172,44,1,0.47535505430242275,0.4844804318488529,0.4295774647887324,0.5185995623632386,284,457,0.6214442013129103
173,44,2,0.49213432499436555,0.5209176788124157,0.40160642570281124,0.5813008130081301,249,492,0.5060975609756098
174,44,3,0.49269439013385474,0.543859649122807,0.39490445859872614,0.583904109589041,157,584,0.2688356164383562
175,44,4,0.4842342342342343,0.5364864864864864,0.3687150837988827,0.5900178253119429,179,561,0.31907308377896615
176,45,1,0.47827903091060986,0.48717948717948717,0.43356643356643354,0.5208791208791209,286,455,0.6285714285714286
177,45,2,0.4912328149650665,0.5141700404858299,0.40145985401459855,0.5802997858672377,274,467,0.5867237687366167
178,45,3,0.4857169775767854,0.5364864864864864,0.379746835443038,0.5790378006872853,158,582,0.27147766323024053
179,45,4,0.48592342342342343,0.5418918918918919,0.3696969696969697,0.591304347826087,165,575,0.28695652173913044
180,46,1,0.48412698412698413,0.4939271255060729,0.4404332129963899,0.5258620689655172,277,464,0.5969827586206896
181,46,2,0.4963705912472516,0.518918918918919,0.40875912408759124,0.5836909871244635,274,466,0.5879828326180258
